Net Asset Value,NAV date,Fund Name
42.13,2024-09-06,Bank of India Mid Small Cap Fund
98.076,2024-09-06,Nippon India Large Cap Fund
27.6942,2024-09-06,Kotak Equity Savings Fund
35.4051,2024-09-09,HSBC Equity Savings Fund
98.4675,2024-09-09,Nippon India Large Cap Fund
33.5634,2024-09-09,ICICI Prudential Bharat 22 FOF
35.6585,2024-09-09,SBI PSU Fund
217.303,2024-09-09,HDFC Focused 30 Fund
27.6595,2024-09-09,Kotak Equity Savings Fund
41.85,2024-09-09,Bank of India Mid Small Cap Fund
35.73,2024-09-10,SBI PSU Fund
219.278,2024-09-10,HDFC Focused 30 Fund
27.7295,2024-09-10,Kotak Equity Savings Fund
42.11,2024-09-10,Bank of India Mid Small Cap Fund
99.2319,2024-09-10,Nippon India Large Cap Fund
35.5869,2024-09-10,HSBC Equity Savings Fund
33.8072,2024-09-10,ICICI Prudential Bharat 22 FOF
35.6488,2024-09-11,HSBC Equity Savings Fund
27.6728,2024-09-11,Kotak Equity Savings Fund
35.2745,2024-09-11,SBI PSU Fund
98.7724,2024-09-11,Nippon India Large Cap Fund
33.4426,2024-09-11,ICICI Prudential Bharat 22 FOF
218.843,2024-09-11,HDFC Focused 30 Fund
41.91,2024-09-11,Bank of India Mid Small Cap Fund
35.8643,2024-09-12,HSBC Equity Savings Fund
100.2373,2024-09-12,Nippon India Large Cap Fund
35.9436,2024-09-12,SBI PSU Fund
34.0363,2024-09-12,ICICI Prudential Bharat 22 FOF
221.631,2024-09-12,HDFC Focused 30 Fund
42.26,2024-09-12,Bank of India Mid Small Cap Fund
27.8109,2024-09-12,Kotak Equity Savings Fund
100.089,2024-09-13,Nippon India Large Cap Fund
221.346,2024-09-13,HDFC Focused 30 Fund
33.9922,2024-09-13,ICICI Prudential Bharat 22 FOF
27.7882,2024-09-13,Kotak Equity Savings Fund
35.9199,2024-09-13,HSBC Equity Savings Fund
42.6,2024-09-13,Bank of India Mid Small Cap Fund
35.8757,2024-09-13,SBI PSU Fund
34.22,2024-09-16,ICICI Prudential Bharat 22 FOF
35.8705,2024-09-16,SBI PSU Fund
27.7901,2024-09-16,Kotak Equity Savings Fund
100.114,2024-09-16,Nippon India Large Cap Fund
221.429,2024-09-16,HDFC Focused 30 Fund
36.0108,2024-09-16,HSBC Equity Savings Fund
42.6,2024-09-16,Bank of India Mid Small Cap Fund
27.8364,2024-09-17,Kotak Equity Savings Fund
35.9664,2024-09-17,HSBC Equity Savings Fund
222.524,2024-09-17,HDFC Focused 30 Fund
100.0653,2024-09-17,Nippon India Large Cap Fund
35.7057,2024-09-17,SBI PSU Fund
34.0648,2024-09-17,ICICI Prudential Bharat 22 FOF
42.48,2024-09-17,Bank of India Mid Small Cap Fund
35.9173,2024-09-18,HSBC Equity Savings Fund
99.968,2024-09-18,Nippon India Large Cap Fund
42.27,2024-09-18,Bank of India Mid Small Cap Fund
27.7999,2024-09-18,Kotak Equity Savings Fund
222.279,2024-09-18,HDFC Focused 30 Fund
35.5657,2024-09-18,SBI PSU Fund
35.0791,2024-09-19,SBI PSU Fund
35.7584,2024-09-19,HSBC Equity Savings Fund
99.8842,2024-09-19,Nippon India Large Cap Fund
33.7662,2024-09-19,ICICI Prudential Bharat 22 FOF
222.354,2024-09-19,HDFC Focused 30 Fund
27.7714,2024-09-19,Kotak Equity Savings Fund
41.77,2024-09-19,Bank of India Mid Small Cap Fund
42.2,2024-09-20,Bank of India Mid Small Cap Fund
34.1404,2024-09-20,ICICI Prudential Bharat 22 FOF
36.0819,2024-09-20,HSBC Equity Savings Fund
224.975,2024-09-20,HDFC Focused 30 Fund
27.8818,2024-09-20,Kotak Equity Savings Fund
100.9598,2024-09-20,Nippon India Large Cap Fund
35.3606,2024-09-20,SBI PSU Fund
36.338,2024-09-23,HSBC Equity Savings Fund
226.943,2024-09-23,HDFC Focused 30 Fund
28.0032,2024-09-23,Kotak Equity Savings Fund
101.6433,2024-09-23,Nippon India Large Cap Fund
34.5256,2024-09-23,ICICI Prudential Bharat 22 FOF
42.45,2024-09-23,Bank of India Mid Small Cap Fund
36.0816,2024-09-23,SBI PSU Fund
227.224,2024-09-24,HDFC Focused 30 Fund
28.0025,2024-09-24,Kotak Equity Savings Fund
36.3175,2024-09-24,SBI PSU Fund
101.7456,2024-09-24,Nippon India Large Cap Fund
42.51,2024-09-24,Bank of India Mid Small Cap Fund
36.3481,2024-09-24,HSBC Equity Savings Fund
34.6606,2024-09-24,ICICI Prudential Bharat 22 FOF
227.953,2024-09-25,HDFC Focused 30 Fund
42.33,2024-09-25,Bank of India Mid Small Cap Fund
36.3396,2024-09-25,HSBC Equity Savings Fund
36.4702,2024-09-25,SBI PSU Fund
27.9439,2024-09-25,Kotak Equity Savings Fund
34.9972,2024-09-25,ICICI Prudential Bharat 22 FOF
102.0413,2024-09-25,Nippon India Large Cap Fund
35.1464,2024-09-26,ICICI Prudential Bharat 22 FOF
228.875,2024-09-26,HDFC Focused 30 Fund
28.0087,2024-09-26,Kotak Equity Savings Fund
36.3052,2024-09-26,HSBC Equity Savings Fund
36.7807,2024-09-26,SBI PSU Fund
102.6658,2024-09-26,Nippon India Large Cap Fund
42.2,2024-09-26,Bank of India Mid Small Cap Fund
228.235,2024-09-27,HDFC Focused 30 Fund
28.0186,2024-09-27,Kotak Equity Savings Fund
102.7061,2024-09-27,Nippon India Large Cap Fund
37.1883,2024-09-27,SBI PSU Fund
35.3189,2024-09-27,ICICI Prudential Bharat 22 FOF
36.3262,2024-09-27,HSBC Equity Savings Fund
42.32,2024-09-27,Bank of India Mid Small Cap Fund
42.29,2024-09-30,Bank of India Mid Small Cap Fund
101.4475,2024-09-30,Nippon India Large Cap Fund
225.232,2024-09-30,HDFC Focused 30 Fund
35.2367,2024-09-30,ICICI Prudential Bharat 22 FOF
27.899,2024-09-30,Kotak Equity Savings Fund
37.0484,2024-09-30,SBI PSU Fund
36.176,2024-09-30,HSBC Equity Savings Fund
37.0632,2024-10-01,SBI PSU Fund
225.396,2024-10-01,HDFC Focused 30 Fund
36.2298,2024-10-01,HSBC Equity Savings Fund
27.9483,2024-10-01,Kotak Equity Savings Fund
42.38,2024-10-01,Bank of India Mid Small Cap Fund
35.2421,2024-10-01,ICICI Prudential Bharat 22 FOF
101.4323,2024-10-01,Nippon India Large Cap Fund
36.4991,2024-10-03,SBI PSU Fund
41.79,2024-10-03,Bank of India Mid Small Cap Fund
99.4889,2024-10-03,Nippon India Large Cap Fund
220.95,2024-10-03,HDFC Focused 30 Fund
34.5049,2024-10-03,ICICI Prudential Bharat 22 FOF
35.8907,2024-10-03,HSBC Equity Savings Fund
27.7197,2024-10-03,Kotak Equity Savings Fund
98.7098,2024-10-04,Nippon India Large Cap Fund
36.2462,2024-10-04,SBI PSU Fund
219.653,2024-10-04,HDFC Focused 30 Fund
41.68,2024-10-04,Bank of India Mid Small Cap Fund
34.2338,2024-10-04,ICICI Prudential Bharat 22 FOF
35.8605,2024-10-04,HSBC Equity Savings Fund
27.6509,2024-10-04,Kotak Equity Savings Fund
33.709,2024-10-07,ICICI Prudential Bharat 22 FOF
27.4985,2024-10-07,Kotak Equity Savings Fund
97.3987,2024-10-07,Nippon India Large Cap Fund
35.4926,2024-10-07,HSBC Equity Savings Fund
217.106,2024-10-07,HDFC Focused 30 Fund
40.67,2024-10-07,Bank of India Mid Small Cap Fund
35.1658,2024-10-07,SBI PSU Fund
98.6381,2024-10-08,Nippon India Large Cap Fund
27.6284,2024-10-08,Kotak Equity Savings Fund
33.9127,2024-10-08,ICICI Prudential Bharat 22 FOF
36.1055,2024-10-08,HSBC Equity Savings Fund
35.544,2024-10-08,SBI PSU Fund
41.42,2024-10-08,Bank of India Mid Small Cap Fund
218.708,2024-10-08,HDFC Focused 30 Fund
220.439,2024-10-09,HDFC Focused 30 Fund
98.9923,2024-10-09,Nippon India Large Cap Fund
41.78,2024-10-09,Bank of India Mid Small Cap Fund
27.7089,2024-10-09,Kotak Equity Savings Fund
36.3772,2024-10-09,HSBC Equity Savings Fund
35.7674,2024-10-09,SBI PSU Fund
33.7428,2024-10-09,ICICI Prudential Bharat 22 FOF
99.2685,2024-10-10,Nippon India Large Cap Fund
27.7104,2024-10-10,Kotak Equity Savings Fund
220.985,2024-10-10,HDFC Focused 30 Fund
33.8448,2024-10-10,ICICI Prudential Bharat 22 FOF
36.4823,2024-10-10,HSBC Equity Savings Fund
35.9073,2024-10-10,SBI PSU Fund
41.79,2024-10-10,Bank of India Mid Small Cap Fund
27.7261,2024-10-11,Kotak Equity Savings Fund
36.0329,2024-10-11,SBI PSU Fund
36.6545,2024-10-11,HSBC Equity Savings Fund
220.743,2024-10-11,HDFC Focused 30 Fund
41.98,2024-10-11,Bank of India Mid Small Cap Fund
99.139,2024-10-11,Nippon India Large Cap Fund
33.9003,2024-10-11,ICICI Prudential Bharat 22 FOF
34.1394,2024-10-14,ICICI Prudential Bharat 22 FOF
221.555,2024-10-14,HDFC Focused 30 Fund
42.16,2024-10-14,Bank of India Mid Small Cap Fund
36.7501,2024-10-14,HSBC Equity Savings Fund
36.2012,2024-10-14,SBI PSU Fund
99.6839,2024-10-14,Nippon India Large Cap Fund
27.7687,2024-10-14,Kotak Equity Savings Fund
34.0927,2024-10-15,ICICI Prudential Bharat 22 FOF
36.1492,2024-10-15,SBI PSU Fund
99.6355,2024-10-15,Nippon India Large Cap Fund
221.632,2024-10-15,HDFC Focused 30 Fund
36.9408,2024-10-15,HSBC Equity Savings Fund
42.39,2024-10-15,Bank of India Mid Small Cap Fund
27.7834,2024-10-15,Kotak Equity Savings Fund
36.0912,2024-10-16,SBI PSU Fund
99.5525,2024-10-16,Nippon India Large Cap Fund
42.34,2024-10-16,Bank of India Mid Small Cap Fund
33.9466,2024-10-16,ICICI Prudential Bharat 22 FOF
27.7211,2024-10-16,Kotak Equity Savings Fund
221.199,2024-10-16,HDFC Focused 30 Fund
36.8887,2024-10-16,HSBC Equity Savings Fund
218.146,2024-10-17,HDFC Focused 30 Fund
98.6003,2024-10-17,Nippon India Large Cap Fund
41.98,2024-10-17,Bank of India Mid Small Cap Fund
36.6104,2024-10-17,HSBC Equity Savings Fund
27.6162,2024-10-17,Kotak Equity Savings Fund
35.7187,2024-10-17,SBI PSU Fund
33.8061,2024-10-17,ICICI Prudential Bharat 22 FOF
36.4499,2024-10-18,HSBC Equity Savings Fund
34.1307,2024-10-18,ICICI Prudential Bharat 22 FOF
42.05,2024-10-18,Bank of India Mid Small Cap Fund
35.9824,2024-10-18,SBI PSU Fund
98.9248,2024-10-18,Nippon India Large Cap Fund
27.5938,2024-10-18,Kotak Equity Savings Fund
220.131,2024-10-18,HDFC Focused 30 Fund
98.4247,2024-10-21,Nippon India Large Cap Fund
35.5734,2024-10-21,SBI PSU Fund
36.2562,2024-10-21,HSBC Equity Savings Fund
33.8555,2024-10-21,ICICI Prudential Bharat 22 FOF
219.673,2024-10-21,HDFC Focused 30 Fund
41.49,2024-10-21,Bank of India Mid Small Cap Fund
27.5179,2024-10-21,Kotak Equity Savings Fund
217.1,2024-10-22,HDFC Focused 30 Fund
35.8652,2024-10-22,HSBC Equity Savings Fund
40.35,2024-10-22,Bank of India Mid Small Cap Fund
33.0343,2024-10-22,ICICI Prudential Bharat 22 FOF
96.8263,2024-10-22,Nippon India Large Cap Fund
34.5177,2024-10-22,SBI PSU Fund
27.3301,2024-10-22,Kotak Equity Savings Fund
40.7,2024-10-23,Bank of India Mid Small Cap Fund
34.4147,2024-10-23,SBI PSU Fund
27.3354,2024-10-23,Kotak Equity Savings Fund
217.104,2024-10-23,HDFC Focused 30 Fund
96.7928,2024-10-23,Nippon India Large Cap Fund
32.7825,2024-10-23,ICICI Prudential Bharat 22 FOF
35.932,2024-10-23,HSBC Equity Savings Fund
35.7349,2024-10-24,HSBC Equity Savings Fund
96.5901,2024-10-24,Nippon India Large Cap Fund
217.689,2024-10-24,HDFC Focused 30 Fund
34.5007,2024-10-24,SBI PSU Fund
32.8614,2024-10-24,ICICI Prudential Bharat 22 FOF
27.2776,2024-10-24,Kotak Equity Savings Fund
40.45,2024-10-24,Bank of India Mid Small Cap Fund
33.8595,2024-10-25,SBI PSU Fund
32.3493,2024-10-25,ICICI Prudential Bharat 22 FOF
39.84,2024-10-25,Bank of India Mid Small Cap Fund
27.1233,2024-10-25,Kotak Equity Savings Fund
216.72,2024-10-25,HDFC Focused 30 Fund
35.487,2024-10-25,HSBC Equity Savings Fund
95.6705,2024-10-25,Nippon India Large Cap Fund
27.236,2024-10-28,Kotak Equity Savings Fund
32.5181,2024-10-28,ICICI Prudential Bharat 22 FOF
217.34,2024-10-28,HDFC Focused 30 Fund
34.2318,2024-10-28,SBI PSU Fund
35.5355,2024-10-28,HSBC Equity Savings Fund
96.0172,2024-10-28,Nippon India Large Cap Fund
40.21,2024-10-28,Bank of India Mid Small Cap Fund
33.0475,2024-10-29,ICICI Prudential Bharat 22 FOF
35.6869,2024-10-29,HSBC Equity Savings Fund
34.9154,2024-10-29,SBI PSU Fund
40.44,2024-10-29,Bank of India Mid Small Cap Fund
27.2613,2024-10-29,Kotak Equity Savings Fund
96.8881,2024-10-29,Nippon India Large Cap Fund
218.487,2024-10-29,HDFC Focused 30 Fund
27.3012,2024-10-30,Kotak Equity Savings Fund
33.021,2024-10-30,ICICI Prudential Bharat 22 FOF
40.76,2024-10-30,Bank of India Mid Small Cap Fund
35.6464,2024-10-30,HSBC Equity Savings Fund
96.533,2024-10-30,Nippon India Large Cap Fund
34.7791,2024-10-30,SBI PSU Fund
217.245,2024-10-30,HDFC Focused 30 Fund
41.04,2024-10-31,Bank of India Mid Small Cap Fund
35.7634,2024-10-31,HSBC Equity Savings Fund
96.3789,2024-10-31,Nippon India Large Cap Fund
217.205,2024-10-31,HDFC Focused 30 Fund
27.23,2024-10-31,Kotak Equity Savings Fund
34.697,2024-10-31,SBI PSU Fund
33.2227,2024-10-31,ICICI Prudential Bharat 22 FOF
95.6366,2024-11-04,Nippon India Large Cap Fund
34.5398,2024-11-04,SBI PSU Fund
35.8146,2024-11-04,HSBC Equity Savings Fund
32.9479,2024-11-04,ICICI Prudential Bharat 22 FOF
40.85,2024-11-04,Bank of India Mid Small Cap Fund
216.006,2024-11-04,HDFC Focused 30 Fund
27.204,2024-11-04,Kotak Equity Savings Fund
96.3891,2024-11-05,Nippon India Large Cap Fund
35.8017,2024-11-05,HSBC Equity Savings Fund
218.407,2024-11-05,HDFC Focused 30 Fund
34.999,2024-11-05,SBI PSU Fund
40.97,2024-11-05,Bank of India Mid Small Cap Fund
27.2748,2024-11-05,Kotak Equity Savings Fund
33.1396,2024-11-05,ICICI Prudential Bharat 22 FOF
27.4549,2024-11-06,Kotak Equity Savings Fund
36.2218,2024-11-06,HSBC Equity Savings Fund
33.6935,2024-11-06,ICICI Prudential Bharat 22 FOF
220.19,2024-11-06,HDFC Focused 30 Fund
97.5614,2024-11-06,Nippon India Large Cap Fund
35.7839,2024-11-06,SBI PSU Fund
41.83,2024-11-06,Bank of India Mid Small Cap Fund
27.3958,2024-11-07,Kotak Equity Savings Fund
219.274,2024-11-07,HDFC Focused 30 Fund
35.6376,2024-11-07,SBI PSU Fund
96.8112,2024-11-07,Nippon India Large Cap Fund
41.69,2024-11-07,Bank of India Mid Small Cap Fund
33.4541,2024-11-07,ICICI Prudential Bharat 22 FOF
36.1452,2024-11-07,HSBC Equity Savings Fund
35.0972,2024-11-08,SBI PSU Fund
218.666,2024-11-08,HDFC Focused 30 Fund
41.12,2024-11-08,Bank of India Mid Small Cap Fund
27.3221,2024-11-08,Kotak Equity Savings Fund
35.8869,2024-11-08,HSBC Equity Savings Fund
33.2154,2024-11-08,ICICI Prudential Bharat 22 FOF
96.4406,2024-11-08,Nippon India Large Cap Fund
35.2312,2024-11-11,SBI PSU Fund
27.3275,2024-11-11,Kotak Equity Savings Fund
35.942,2024-11-11,HSBC Equity Savings Fund
33.1998,2024-11-11,ICICI Prudential Bharat 22 FOF
40.88,2024-11-11,Bank of India Mid Small Cap Fund
96.5738,2024-11-11,Nippon India Large Cap Fund
218.438,2024-11-11,HDFC Focused 30 Fund
35.7536,2024-11-12,HSBC Equity Savings Fund
95.3799,2024-11-12,Nippon India Large Cap Fund
40.67,2024-11-12,Bank of India Mid Small Cap Fund
34.4665,2024-11-12,SBI PSU Fund
215.714,2024-11-12,HDFC Focused 30 Fund
27.1927,2024-11-12,Kotak Equity Savings Fund
32.6102,2024-11-12,ICICI Prudential Bharat 22 FOF
212.711,2024-11-13,HDFC Focused 30 Fund
93.9405,2024-11-13,Nippon India Large Cap Fund
39.8,2024-11-13,Bank of India Mid Small Cap Fund
27.1028,2024-11-13,Kotak Equity Savings Fund
32.0839,2024-11-13,ICICI Prudential Bharat 22 FOF
35.2688,2024-11-13,HSBC Equity Savings Fund
33.7527,2024-11-13,SBI PSU Fund
213.337,2024-11-14,HDFC Focused 30 Fund
31.8233,2024-11-14,ICICI Prudential Bharat 22 FOF
35.4057,2024-11-14,HSBC Equity Savings Fund
93.9927,2024-11-14,Nippon India Large Cap Fund
40.08,2024-11-14,Bank of India Mid Small Cap Fund
33.5667,2024-11-14,SBI PSU Fund
27.0728,2024-11-14,Kotak Equity Savings Fund
33.5038,2024-11-18,SBI PSU Fund
93.7894,2024-11-18,Nippon India Large Cap Fund
27.0532,2024-11-18,Kotak Equity Savings Fund
31.9342,2024-11-18,ICICI Prudential Bharat 22 FOF
35.5262,2024-11-18,HSBC Equity Savings Fund
39.96,2024-11-18,Bank of India Mid Small Cap Fund
212.964,2024-11-18,HDFC Focused 30 Fund
213.464,2024-11-19,HDFC Focused 30 Fund
94.0998,2024-11-19,Nippon India Large Cap Fund
27.0797,2024-11-19,Kotak Equity Savings Fund
35.8092,2024-11-19,HSBC Equity Savings Fund
32.0783,2024-11-19,ICICI Prudential Bharat 22 FOF
40.23,2024-11-19,Bank of India Mid Small Cap Fund
33.5248,2024-11-19,SBI PSU Fund
